Province,District,CNIC,CRC,NICOP,Total
BALOCHISTAN,AWARAN,91868,53508,3916,149292
BALOCHISTAN,BARKHAN,83625,48980,1488,134093
BALOCHISTAN,CHAGAI,129699,87071,1330,218100
BALOCHISTAN,CHAMAN,161481,66530,992,229003
BALOCHISTAN,DERA BUGTI,139061,107452,784,247297
BALOCHISTAN,DUKI,66530,39374,128,106032
BALOCHISTAN,GWADAR,149367,77498,4972,231837
BALOCHISTAN,HARNAI,48826,29692,136,78654
BALOCHISTAN,HUB,174487,105736,2190,282413
BALOCHISTAN,JAFFARABAD,166466,100987,1776,269229
BALOCHISTAN,JHAL MAGSI,70506,38590,1351,110447
BALOCHISTAN,KACHHI,141207,75968,420,217595
BALOCHISTAN,KALAT,107672,65576,1250,174498
BALOCHISTAN,KECH,256216,118052,33048,407316
BALOCHISTAN,KHARAN,74790,46951,2101,123842
BALOCHISTAN,KHUZDAR,306443,203952,18454,528849
BALOCHISTAN,KILLA ABDULLAH,149687,71342,423,221452
BALOCHISTAN,KILLA SAIFULLAH,136358,93428,166,229952
BALOCHISTAN,KOHLU,70633,36519,890,108042
BALOCHISTAN,LASBELA,145204,96821,1431,243456
BALOCHISTAN,LORALAI,132316,86709,766,219791
BALOCHISTAN,MASTUNG,135772,61976,571,198319
BALOCHISTAN,MUSAKHEL,72273,45825,447,118545
BALOCHISTAN,NASIRABAD,258362,142783,1399,402544
BALOCHISTAN,NUSHKI,108716,69248,4722,182686
BALOCHISTAN,PANJGUR,126866,57785,6645,191296
BALOCHISTAN,PISHIN,308974,174519,1411,484904
BALOCHISTAN,QUETTA,998245,515869,29360,1543474
BALOCHISTAN,SHERANI,38628,18411,5197,62236
BALOCHISTAN,SIBBI,121321,67946,244,189511
BALOCHISTAN,SOHBATPUR,108453,62190,343,170986
BALOCHISTAN,SURAB,56131,33381,8550,98062
BALOCHISTAN,USTA MOHAMMAD,136455,76396,787,213638
BALOCHISTAN,WASHUK,65362,30996,1308,97666
BALOCHISTAN,ZHOB,154270,94241,2883,251394
BALOCHISTAN,ZIARAT,82821,44531,100,127452
ISLAMABAD,ISLAMABAD,1898689,800278,159329,2858296
KHYBER PAKHTUNKHWA,ABBOTTABAD,898737,437875,42936,1379548
KHYBER PAKHTUNKHWA,BAJAUR,667470,490119,14164,1171753
KHYBER PAKHTUNKHWA,BANNU,709002,484191,40068,1233261
KHYBER PAKHTUNKHWA,BATAGRAM,314608,263773,16850,595231
KHYBER PAKHTUNKHWA,BUNER,565290,408970,36072,1010332
KHYBER PAKHTUNKHWA,CHARSADDA,1073875,652657,40452,1766984
KHYBER PAKHTUNKHWA,CHITRAL,195400,106964,3246,305610
KHYBER PAKHTUNKHWA,D. I. KHAN,923415,662073,10452,1595940
KHYBER PAKHTUNKHWA,HANGU,281596,169374,66682,517652
KHYBER PAKHTUNKHWA,HARIPUR,732354,317816,40846,1091016
KHYBER PAKHTUNKHWA,KARAK,490657,369840,21097,881594
KHYBER PAKHTUNKHWA,KHYBER,629612,530556,26868,1187036
KHYBER PAKHTUNKHWA,KOHAT,602544,354479,40778,997801
KHYBER PAKHTUNKHWA,KOHISTAN,69214,49269,93,118576
KHYBER PAKHTUNKHWA,KOHISTAN LOWER,63890,49996,988,114874
KHYBER PAKHTUNKHWA,KOLAI PALLAS,30207,22650,254,53111
KHYBER PAKHTUNKHWA,KURRAM,381366,166679,44780,592825
KHYBER PAKHTUNKHWA,LAKKI MARWAT,526611,379230,6449,912290
KHYBER PAKHTUNKHWA,LOWER DIR,876693,579517,57240,1513450
KHYBER PAKHTUNKHWA,MALAKAND P AREA,487050,316785,22565,826400
KHYBER PAKHTUNKHWA,MANSEHRA,1100959,693707,43418,1838084
KHYBER PAKHTUNKHWA,MARDAN,1586699,1026423,69093,2682215
KHYBER PAKHTUNKHWA,MOHMAND,325695,277122,11053,613870
KHYBER PAKHTUNKHWA,N WAZIRISTAN,406634,193109,40871,640614
KHYBER PAKHTUNKHWA,NOWSHERA,933766,591227,50754,1575747
KHYBER PAKHTUNKHWA,ORAKZAI,202771,120740,20625,344136
KHYBER PAKHTUNKHWA,PESHAWAR,2294799,1398324,106493,3799616
KHYBER PAKHTUNKHWA,S WAZIRISTAN,422861,217690,22774,663325
KHYBER PAKHTUNKHWA,SHANGLA,471037,446300,12997,930334
KHYBER PAKHTUNKHWA,SWABI,1097242,657881,74097,1829220
KHYBER PAKHTUNKHWA,SWAT,1500797,1076215,96470,2673482
KHYBER PAKHTUNKHWA,T A ADJ BANNU,13381,12135,3888,29404
KHYBER PAKHTUNKHWA,T A ADJ D.I.KHAN,37452,21797,2323,61572
KHYBER PAKHTUNKHWA,T A ADJ KOHAT,71196,41837,5225,118258
KHYBER PAKHTUNKHWA,T A ADJ PESHAWAR,28043,17759,1486,47288
KHYBER PAKHTUNKHWA,T A ADJ TANK,26823,15587,836,43246
KHYBER PAKHTUNKHWA,T.A.ADJ.LAKKI MARWAT,13562,7646,282,21490
KHYBER PAKHTUNKHWA,TANK,212380,137934,4640,354954
KHYBER PAKHTUNKHWA,TOR GHAR,152401,95495,2008,249904
KHYBER PAKHTUNKHWA,UPPER CHITRAL,67800,31780,1844,101424
KHYBER PAKHTUNKHWA,UPPER DIR,579678,533710,40630,1154018
PUNJAB,ATTOCK,1396368,624922,110976,2132266
PUNJAB,BAHAWALNAGAR,2030964,1205626,42518,3279108
PUNJAB,BAHAWALPUR,2485109,1465575,67369,4018053
PUNJAB,BHAKKAR,1156683,697301,8767,1862751
PUNJAB,CHAKWAL,802056,324266,50099,1176421
PUNJAB,CHINIOT,971109,527174,26772,1525055
PUNJAB,DERA GHAZI KHAN,1714573,1226079,116527,3057179
PUNJAB,FAISALABAD,5736876,2538203,246227,8521306
PUNJAB,GUJRANWALA,2911992,1342706,192753,4447451
PUNJAB,GUJRAT,2098731,923128,460290,3482149
PUNJAB,HAFIZABAD,860109,429372,34119,1323600
PUNJAB,JHANG,1897109,1159180,30722,3087011
PUNJAB,JHELUM,1003773,428985,204452,1637210
PUNJAB,KASUR,2372372,1403469,32578,3808419
PUNJAB,KHANEWAL,2091404,1146999,45264,3283667
PUNJAB,KHUSHAB,1011439,473559,24757,1509755
PUNJAB,KOT ADDU,841990,640558,11350,1493898
PUNJAB,LAHORE,7874381,3195548,615204,11685133
PUNJAB,LAYYAH,1228286,824808,18196,2071290
PUNJAB,LODHRAN,1197215,752828,24879,1974922
PUNJAB,MANDI BAHAUDDIN,1225311,599030,133694,1958035
PUNJAB,MIANWALI,1159381,646538,13053,1818972
PUNJAB,MULTAN,3384124,1881949,104529,5370602
PUNJAB,MURREE,232741,111501,9883,354125
PUNJAB,MUZAFFARGARH,1862082,1327793,42756,3232631
PUNJAB,NANKANA SAHIB,928449,485369,26999,1440817
PUNJAB,NAROWAL,1243850,689933,64450,1998233
PUNJAB,OKARA,2204786,1229173,41160,3475119
PUNJAB,PAKPATTAN,1289250,730969,20413,2040632
PUNJAB,RAHIM YAR KHAN,3236497,1934409,84705,5255611
PUNJAB,RAJANPUR,1188155,887218,29857,2105230
PUNJAB,RAWALPINDI,3754248,1630400,419069,5803717
PUNJAB,SAHIWAL,1852909,928000,72186,2853095
PUNJAB,SARGODHA,2829761,1399364,111086,4340211
PUNJAB,SHEIKHUPURA,2300514,1102625,86169,3489308
PUNJAB,SIALKOT,2832954,1324972,298720,4456646
PUNJAB,TALA GANG,445308,186252,9176,640736
PUNJAB,TOBA TEK SINGH,1657280,809346,100128,2566754
PUNJAB,VEHARI,2063528,1114506,65860,3243894
PUNJAB,WAZIRABAD,655239,296881,68087,1020207
SINDH,BADIN,1018701,556493,2416,1577610
SINDH,DADU,947004,520431,41005,1508440
SINDH,GHOTKI,985230,634607,14404,1634241
SINDH,HYDERABAD,1401593,463173,31327,1896093
SINDH,JACOBABAD,611802,333488,7719,953009
SINDH,JAMSHORO,544984,259726,9798,814508
SINDH,KAMBAR SHAHDAD KOT,805127,523016,44561,1372704
SINDH,KARACHI CENTRAL,2320726,755051,318809,3394586
SINDH,KARACHI EAST,1643495,550915,203830,2398240
SINDH,KARACHI KEEMARI,908253,389868,20078,1318199
SINDH,KARACHI KORANGI,1391560,465847,54763,1912170
SINDH,KARACHI MALIR,1310297,551659,50513,1912469
SINDH,KARACHI SOUTH,1675810,594582,144264,2414656
SINDH,KARACHI WEST,1295649,535914,33670,1865233
SINDH,KASHMORE,609245,357068,8812,975125
SINDH,KHAIRPUR,1457901,992153,7315,2457369
SINDH,LARKANA,945090,557926,22927,1525943
SINDH,MATIARI,455750,246139,2067,703956
SINDH,MIRPUR KHAS,927997,456123,6578,1390698
SINDH,NAUSHAHRO FEROZE,989370,576696,8076,1574142
SINDH,SANGHAR,1300598,758957,11396,2070951
SINDH,SHAHEED BENAZIR ABAD,997472,574773,18719,1590964
SINDH,SHIKARPUR,757398,506712,5030,1269140
SINDH,SUJAWAL,460122,240634,595,701351
SINDH,SUKKUR,915000,563995,5689,1484684
SINDH,TANDO ALLAHYAR,499573,248847,3899,752319
SINDH,TANDO MUHAMMAD KHAN,384108,207328,813,592249
SINDH,THARPARKAR,776894,576237,488,1353619
SINDH,THATTA,574344,292945,1495,868784
SINDH,UMER KOT,636751,384085,1797,1022633
